Creating Table
-- START --
Number block: 23122233
NFTs address: 0xa7a9a8156C24C4B0ca910c3bA842D1F1ac7200ef
number of transfer from 13440000 to 13445000: 89
Add Transfer with (transactionHash - logIndex): (0xc6091b0708bea5dd2ec5598f490b6b951883145abc00ad342ef02edb7c4e3f57 - 107
Add Transfer with (transactionHash - logIndex): (0x8c5d9d9ace5106d0db3072fef9ca172905682df611d971ea4909762bcde9fef7 - 130
Add Transfer with (transactionHash - logIndex): (0x94082b3d8e6a77cf948ca45f9e28ef6bbe369434843a18c955fcd811534352f4 - 64
Add Transfer with (transactionHash - logIndex): (0x648ef7960449498e49c842cd973230a5e1738b0e0effc1d47029b65a20ea3385 - 211
Add Transfer with (transactionHash - logIndex): (0x2ec16d01346d699cda56856ab4cf602ab5cec2756bb1a848ab5120a19ea34f9d - 102
Add Transfer with (transactionHash - logIndex): (0x124ec53b9233b5363e48a11b540bcb561685cd206d25d0198235502f84d0e9c1 - 206
Add Transfer with (transactionHash - logIndex): (0x06fe8e4385b0acb58056da22aea63b25e0022167147d743fbbb000ce23167ca0 - 108
Add Transfer with (transactionHash - logIndex): (0x038f96c6fb84668062215d9f87b3313ba2e297be599065632199fba4557c03f5 - 111
Add Transfer with (transactionHash - logIndex): (0xa86e923ee77f5a6edfb111f446eff70c9821505e765115b3a9bbc1a6b9f3c335 - 117
Add Transfer with (transactionHash - logIndex): (0x5cecaa8076437cc598eda635b3104774e2c0cbd868a2386978d670037760dc19 - 113
Add Transfer with (transactionHash - logIndex): (0x82bb58d061fa92ece30cd9a965479128f1f8c933d662a743630e1ff5f1da65e7 - 92
Add Transfer with (transactionHash - logIndex): (0x19dac6dc0e8c7dbe89169358fbdca3ede0c9e7550ada3ef90a4aaf912ad36d65 - 76
Add Transfer with (transactionHash - logIndex): (0x55b1ed1cc4c0cd8b517e506ee4244d39f0aadc5e06a3e5d5a8d373ea6fdeae82 - 144
Add Transfer with (transactionHash - logIndex): (0xbc3a289014b9937b32dd2bace203416c4bdb52127c5d4c646263d7de5fa9d9aa - 82
Add Transfer with (transactionHash - logIndex): (0x8ca9418be28ba65a2731d5f714e8863f62b2d1220931b18cecb741a28be8c0ce - 154
